quote_date,dr007
20240102,1.7640
20240103,1.7706
20240104,1.7671
20240105,1.7833
20240108,1.7918
20240109,1.7805
20240110,1.8017
20240111,1.8353
20240112,1.8415
20240115,1.8935
20240116,1.9591
20240117,1.9840
20240118,1.8311
20240119,1.8707
20240122,1.8800
20240123,1.8386
20240124,1.8813
20240125,1.9405
20240126,1.9517
20240129,1.9401
20240130,1.9385
20240131,1.8706
20240201,1.8354
20240202,1.8440
20240204,1.9431
20240205,1.9678
20240206,1.9722
20240207,1.9538
20240208,1.7829
20240209,1.8500
20240218,1.8048
20240219,1.7855
20240220,1.8060
20240221,1.8275
20240222,1.8242
20240223,1.8425
20240226,1.9099
20240227,1.9287
20240228,1.8311
20240229,1.7667
20240301,1.8197
20240304,1.8327
20240305,1.8624
20240306,1.8351
20240307,1.8395
20240308,1.8628
20240311,1.8693
20240312,1.8696
20240313,1.8965
20240314,1.8873
20240315,1.8961
20240318,1.8789
20240319,1.8867
20240320,1.8655
20240321,1.8690
20240322,1.8639
20240325,1.9027
20240326,1.9766
20240327,2.0147
20240328,1.9845
20240329,2.0124
20240401,1.8734
20240402,1.8505
20240403,1.8144
20240407,1.8135
20240408,1.8328
20240409,1.8283
20240410,1.8388
20240411,1.8239
20240412,1.8336
20240415,1.8069
20240416,1.8155
20240417,1.8326
20240418,1.8555
20240419,1.8775
20240422,1.8351
20240423,1.8324
20240424,1.8716
20240425,1.9161
20240426,1.9315
20240428,1.9611
20240429,2.1024
20240430,2.1098
20240506,1.8782
20240507,1.8458
20240508,1.8706
20240509,1.8249
20240510,1.8228
20240511,1.8520
20240513,1.8485
20240514,1.8402
20240515,1.8087
20240516,1.8009
20240517,1.8078
20240520,1.8085
20240521,1.8470
20240522,1.8421
20240523,1.8282
20240524,1.8237
20240527,1.8965
20240528,1.8969
20240529,1.9150
20240530,1.9177
20240531,1.8675
20240603,1.8086
20240604,1.7870
20240605,1.7887
20240606,1.7859
20240607,1.7718
20240611,1.8093
20240612,1.7961
20240613,1.8146
20240614,1.8198
20240617,1.8650
20240618,1.8871
20240619,1.8762
20240620,1.9021
20240621,1.9477
20240624,2.0074
20240625,2.0460
20240626,2.1333
20240627,2.1217
20240628,2.1664
20240701,1.8009
20240702,1.7905
20240703,1.7894
20240704,1.8045
20240705,1.8089
20240708,1.8204
20240709,1.8039
20240710,1.7991
20240711,1.8013
20240712,1.8047
20240715,1.8334
20240716,1.9011
20240717,1.8995
20240718,1.8973
20240719,1.8682
20240722,1.7184
20240723,1.7669
20240724,1.7591
20240725,1.9168
20240726,1.9197
20240729,1.9139
20240730,1.8336
20240731,1.7999
20240801,1.7048
20240802,1.6922
20240805,1.6916
20240806,1.6932
20240807,1.7223
20240808,1.7731
20240809,1.8205
20240812,1.9114
20240813,1.8798
20240814,1.8799
20240815,1.8306
20240816,1.8357
20240819,1.7315
20240820,1.7801
20240821,1.8229
20240822,1.8406
20240823,1.8475
20240826,1.9594
20240827,1.8735
20240828,1.7808
20240829,1.6310
20240830,1.6997
20240902,1.6912
20240903,1.7021
20240904,1.7095
20240905,1.7108
20240906,1.6890
20240909,1.8250
20240910,1.8612
20240911,1.8106
20240912,1.8176
20240913,1.8187
20240914,1.6542
20240918,1.8840
20240919,1.9717
20240920,1.9569
20240923,1.8850
20240924,1.9173
20240925,1.8748
20240926,1.8464
20240927,1.6642
20240929,1.8339
20240930,1.5552
20241008,1.7530
20241009,1.8222
20241010,1.6542
20241011,1.5407
20241012,1.4549
20241014,1.6141
20241015,1.5736
20241016,1.6367
20241017,1.6093
20241018,1.6065
20241021,1.6277
20241022,1.6362
20241023,1.6412
20241024,1.6363
20241025,1.7353
20241028,1.7216
20241029,1.8064
20241030,1.7211
20241031,1.7044
20241101,1.5508
20241104,1.5411
20241105,1.5425
20241106,1.5525
20241107,1.6040
20241108,1.6104
20241111,1.7261
20241112,1.7261
20241113,1.7038
20241114,1.7174
20241115,1.7230
20241118,1.7245
20241119,1.7299
20241120,1.7259
20241121,1.6986
20241122,1.6451
20241125,1.7680
20241126,1.7481
20241127,1.7169
20241128,1.7414
20241129,1.6422
20241202,1.6054
20241203,1.6057
20241204,1.6096
20241205,1.7179
20241206,1.6626
20241209,1.7790
20241210,1.8165
20241211,1.7552
20241212,1.6927
20241213,1.6887
20241216,1.8166
20241217,1.8648
20241218,1.8057
20241219,1.6880
20241220,1.5713
20241223,1.5395
20241224,1.4945
20241225,1.5564
20241226,1.5971
20241227,1.8027
20241230,1.9195
20241231,1.9812
20250102,1.6741
20250103,1.6815
20250106,1.6127
20250107,1.5592
20250108,1.6049
20250109,1.6526
20250110,1.7472
20250113,2.0223
20250114,2.2972
20250115,2.2365
20250116,2.3391
20250117,2.1244
20250120,2.0995
20250121,2.0324
20250122,1.8721
20250123,2.1213
20250124,2.1113
20250126,1.9626
20250127,1.8629
20250205,1.8713
20250206,1.8115
20250207,1.7629
20250208,1.7304
20250210,1.8038
20250211,1.9013
20250212,1.8500
20250213,1.8199
20250214,1.9412
20250217,2.0567
20250218,2.3447
20250219,2.0587
20250220,2.0622
20250221,2.2156
20250224,2.0550
20250225,2.2161
20250226,2.2386
20250227,2.3282
20250228,2.1262
20250303,1.8599
20250304,1.7659
20250305,1.7739
20250306,1.7867
20250307,1.8066
20250310,1.8149
20250311,1.8065
20250312,1.8047
20250313,1.8004
20250314,1.8121
20250317,1.8978
20250318,1.9609
20250319,1.9604
20250320,1.8419
20250321,1.7688
20250324,1.7690
20250325,1.9062
20250326,1.9819
20250327,2.0933
20250328,2.0509
20250331,2.1888
20250401,1.8421
20250402,1.8418
20250403,1.6981
20250407,1.7427
20250408,1.7767
20250409,1.7623
20250410,1.7114
20250411,1.6534
20250414,1.7039
20250415,1.7142
20250416,1.7176
20250417,1.6837
20250418,1.6925
20250421,1.7080
20250422,1.7079
20250423,1.6508
20250424,1.7199
20250425,1.6358
20250427,1.7130
20250428,1.7489
20250429,1.7824
20250430,1.7986
20250506,1.7239
20250507,1.6802
20250508,1.6112
20250509,1.5409
20250512,1.4967
20250513,1.5156
20250514,1.5171
20250515,1.5245
20250516,1.6374
20250519,1.6014
20250520,1.5856
20250521,1.5709
20250522,1.5660
20250523,1.5860
20250526,1.6545
20250527,1.6186
20250528,1.6062
20250529,1.6330
20250530,1.6645
20250603,1.5496
20250604,1.5549
20250605,1.5509
20250606,1.5323
20250609,1.5126
20250610,1.5063
20250611,1.5276
20250612,1.5386
20250613,1.5020
20250616,1.5261
20250617,1.5227
20250618,1.5267
20250619,1.5441
20250620,1.4941
20250623,1.5075
20250624,1.6684
20250625,1.6936
20250626,1.6850
20250627,1.6968
20250630,1.9159
20250701,1.5457
20250702,1.5053
20250703,1.4674
20250704,1.4222
20250707,1.4660
20250708,1.4635
20250709,1.4767
20250710,1.4945
20250711,1.4718
20250714,1.5360
20250715,1.5696
20250716,1.5291
20250717,1.5223
20250718,1.5067
20250721,1.4901
20250722,1.4741
20250723,1.4826
20250724,1.5759
20250725,1.6523
20250728,1.5806
20250729,1.5643
20250730,1.5176
20250731,1.5542
20250801,1.4242
20250804,1.4518
20250805,1.4445
20250806,1.4557
20250807,1.4515
20250808,1.4251
20250811,1.4404
20250812,1.4444
20250813,1.4522
20250814,1.4424
20250815,1.4798
20250818,1.5144
20250819,1.5452
20250820,1.5680
20250821,1.5140
20250822,1.4669
20250825,1.5208
20250826,1.4926
20250827,1.5123
20250828,1.5395
20250829,1.5158
20250901,1.4454
20250902,1.4375
20250903,1.4415
20250904,1.4488
20250905,1.4372
20250908,1.4523
20250909,1.4789
20250910,1.4747
20250911,1.4813
20250912,1.4575
20250915,1.4832
20250916,1.4978
20250917,1.5404
20250918,1.5566
20250919,1.5096
20250922,1.4888
20250923,1.4754
20250924,1.5864
20250925,1.6017
20250926,1.5313
20250928,1.5556
20250929,1.5873
20250930,1.4376
20251009,1.5073
20251010,1.4229
20251011,1.3945
20251013,1.4495
20251014,1.4314
20251015,1.4170
20251016,1.4225
20251017,1.4085
20251020,1.4332
20251021,1.4433
20251022,1.4327
20251023,1.4267
20251024,1.4110
20251027,1.5818
20251028,1.5580
20251029,1.5452
20251030,1.5018
20251031,1.4551
20251103,1.4187
20251104,1.4262
20251105,1.4378
20251106,1.4254
20251107,1.4130
20251110,1.4993
20251111,1.5126
20251112,1.4904
20251113,1.4782
20251114,1.4673
20251117,1.5236
20251118,1.5239
20251119,1.5131
20251120,1.4857
20251121,1.4408
20251124,1.4703
20251125,1.4541
20251126,1.4744
20251127,1.4464
20251128,1.4668
20251201,1.4580
20251202,1.4410
20251203,1.4409
20251204,1.4376
20251205,1.4380
20251208,1.4459
20251209,1.4512
20251210,1.4521
20251211,1.4516
20251212,1.4691
20251215,1.4440
20251216,1.4488
20251217,1.4423
20251218,1.4392
20251219,1.4413
20251222,1.4337
20251223,1.4105
20251224,1.3800
20251225,1.4842
20251226,1.5237
20251229,1.5944
20251230,1.6874
20251231,1.9821
20260104,1.4286
20260105,1.4312
20260106,1.4326
20260107,1.4625
20260108,1.4740
20260109,1.4727
20260112,1.4902
20260113,1.5474
20260114,1.5668
20260115,1.5024
20260116,1.4430
20260119,1.4772
20260120,1.4948
20260121,1.4952
20260122,1.5074
20260123,1.4935
20260126,1.5738
20260127,1.5833
20260128,1.5479
20260129,1.5907
20260130,1.5926
20260202,1.4906
20260203,1.4972
20260204,1.4916
20260205,1.4821
20260206,1.4613
20260209,1.5385
20260210,1.5574
20260211,1.5388
20260212,1.5257
20260213,1.4259
20260214,1.3211
20260224,1.5545
20260225,1.5066
20260226,1.4833
20260227,1.4805
20260228,1.5034
20260302,1.4639
20260303,1.4515
20260304,1.4189
20260305,1.4207
20260306,1.4149
20260309,1.4476
20260310,1.4403
20260311,1.4645
20260312,1.4704
20260313,1.4616
20260316,1.4523
20260317,1.4348
20260318,1.4332
20260319,1.4271
20260320,1.4209
20260323,1.4259
20260324,1.4116
20260325,1.4446
20260326,1.4437
20260327,1.4398
20260330,1.4293
20260331,1.4230
20260401,1.4226
20260402,1.4094
20260403,1.3372
20260407,1.3226
20260408,1.3223
