quote_date,security_id,tenor_raw,mlf_rate,operation_amount_yi
20210115,MLF,1Y,2.9500,5000.0000
20210218,MLF,1Y,2.9500,2000.0000
20210315,MLF,1Y,2.9500,1000.0000
20210415,MLF,1Y,2.9500,1500.0000
20210517,MLF,1Y,2.9500,1000.0000
20210615,MLF,1Y,2.9500,2000.0000
20210715,MLF,1Y,2.9500,1000.0000
20210816,MLF,1Y,2.9500,6000.0000
20210915,MLF,1Y,2.9500,6000.0000
20211015,MLF,1Y,2.9500,5000.0000
20211115,MLF,1Y,2.9500,10000.0000
20211215,MLF,1Y,2.9500,5000.0000
20220117,MLF,1Y,2.8500,7000.0000
20220215,MLF,1Y,2.8500,3000.0000
20220315,MLF,1Y,2.8500,2000.0000
20220415,MLF,1Y,2.8500,1500.0000
20220516,MLF,1Y,2.8500,1000.0000
20220615,MLF,1Y,2.8500,2000.0000
20220715,MLF,1Y,2.8500,1000.0000
20220815,MLF,1Y,2.7500,4000.0000
20220915,MLF,1Y,2.7500,4000.0000
20221017,MLF,1Y,2.7500,5000.0000
20221115,MLF,1Y,2.7500,8500.0000
20221215,MLF,1Y,2.7500,6500.0000
20230116,MLF,1Y,2.7500,7790.0000
20230215,MLF,1Y,2.7500,4990.0000
20230315,MLF,1Y,2.7500,4810.0000
20230417,MLF,1Y,2.7500,1700.0000
20230515,MLF,1Y,2.7500,1250.0000
20230615,MLF,1Y,2.6500,2370.0000
20230717,MLF,1Y,2.6500,1030.0000
20230815,MLF,1Y,2.5000,4010.0000
20230915,MLF,1Y,2.5000,5910.0000
20231016,MLF,1Y,2.5000,7890.0000
20231115,MLF,1Y,2.5000,14500.0000
20231215,MLF,1Y,2.5000,14500.0000
20240115,MLF,1Y,2.5000,9950.0000
20240218,MLF,1Y,2.5000,5000.0000
20240315,MLF,1Y,2.5000,3870.0000
20240415,MLF,1Y,2.5000,1000.0000
20240515,MLF,1Y,2.5000,1250.0000
20240617,MLF,1Y,2.5000,1820.0000
20240715,MLF,1Y,2.5000,1000.0000
20240725,MLF,1Y,2.3000,2000.0000
20240826,MLF,1Y,2.3000,3000.0000
