quote_date,pmi_mfg_index
20210101,51.3000
20210201,50.6000
20210301,51.9000
20210401,51.1000
20210501,51.0000
20210601,50.9000
20210701,50.4000
20210801,50.1000
20210901,49.6000
20211001,49.2000
20211101,50.1000
20211201,50.3000
20220101,50.1000
20220201,50.2000
20220301,49.5000
20220401,47.4000
20220501,49.6000
20220601,50.2000
20220701,49.0000
20220801,49.4000
20220901,50.1000
20221001,49.2000
20221101,48.0000
20221201,47.0000
20230101,50.1000
20230201,52.6000
20230301,51.9000
20230401,49.2000
20230501,48.8000
20230601,49.0000
20230701,49.3000
20230801,49.7000
20230901,50.2000
20231001,49.5000
20231101,49.4000
20231201,49.0000
20240101,49.2000
20240201,49.1000
20240301,50.8000
20240401,50.4000
20240501,49.5000
20240601,49.5000
20240701,49.4000
20240801,49.1000
20240901,49.8000
20241001,50.1000
20241101,50.3000
20241201,50.1000
20250101,49.1000
20250201,50.2000
20250301,50.5000
20250401,49.0000
20250501,49.5000
20250601,49.7000
20250701,49.3000
20250801,49.4000
20250901,49.8000
20251001,49.0000
20251101,49.2000
20251201,50.1000
20260101,49.3000
20260201,49.0000
20260301,50.4000
